image_path,target,first_action,final_action,prediction,exact,edit_distance,baseline_exact,fixed,broken,source,input_transform,crop_width,crop_height,crop_size_bucket
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000015_general_007748.jpg,95E147374,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,95E121284,False,4,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,634,540,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000016_general_013821.jpg,70Z75434,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,9H786669,False,8,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,86,66,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000017_general_016085.jpg,51F2155,baseline,baseline,51F21255,False,1,False,False,False,yolo_plate_dataset,crop_source_bounding_box,57,11,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000018_general_014829.jpg,51K95192,baseline,baseline,51K95192,True,0,True,False,False,cropped,existing_plate_crop,55,35,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000019_general_013099.jpg,60FL7420,unwrap_z1.07_up2_clahe_rl_deblur_bilateral,baseline,60FL7420,True,0,True,False,False,yolo_plate_dataset,crop_source_bounding_box,81,71,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000020_general_007474.jpg,30F204499,baseline,baseline,30F20449,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,162,57,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000021_general_016990.jpg,67A05145,baseline,baseline,62A06195,False,3,False,False,False,yolo_plate_dataset,crop_source_bounding_box,61,15,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000022_general_010374.jpg,60A21242,baseline,baseline,60A21242,True,0,True,False,False,cropped,existing_plate_crop,46,20,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000023_general_012412.jpg,50F01096,baseline,baseline,50F01096,True,0,True,False,False,cropped,existing_plate_crop,44,25,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000024_general_015692.jpg,49H111837,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,49P111837,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,81,55,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000025_general_005445.jpg,39F27042,baseline,baseline,39F27042,True,0,True,False,False,cropped,existing_plate_crop,46,43,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000026_general_010639.jpg,60A10647,baseline,baseline,60A10647,True,0,True,False,False,cropped,existing_plate_crop,59,47,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000027_general_014965.jpg,76C158155,baseline,baseline,76C158155,True,0,True,False,False,archive_plate_crops_from_coords,existing_plate_crop,81,41,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000028_general_010664.jpg,81D100276,baseline,baseline,81U100276,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,87,79,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000029_general_008371.jpg,59L204475,baseline,baseline,59L204775,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,81,73,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000030_general_010752.jpg,69T13141,baseline,baseline,69T13141,True,0,True,False,False,yolo_plate_dataset,crop_source_bounding_box,177,116,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000031_general_011049.jpg,51F4464,baseline,baseline,51F44614,False,1,False,False,False,yolo_plate_dataset,crop_source_bounding_box,85,32,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000032_general_001217.jpg,1F040275,baseline,baseline,1F04275,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,111,27,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000033_general_007022.jpg,51G65980,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,1066666444446,False,12,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,30,12,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000034_general_010037.jpg,51K16067,baseline,baseline,51K16067,True,0,True,False,False,cropped,existing_plate_crop,67,44,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000035_general_006664.jpg,58M179730,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,50A179730,False,2,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,44,31,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000036_general_002577.jpg,50G51077,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,51P31059,False,5,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,31,20,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000037_general_013762.jpg,59V173281,baseline,baseline,59Y173281,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,92,80,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000038_general_013208.jpg,59Z29392,baseline,baseline,59L293392,False,2,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,190,156,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000039_general_007737.jpg,83H28458,baseline,baseline,83H28458,True,0,True,False,False,yolo_plate_dataset,crop_source_bounding_box,157,116,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000040_general_007671.jpg,61G52239,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,61X55239,False,2,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,46,33,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000041_general_003945.jpg,51FF112,baseline,baseline,51FG1712,False,2,False,False,False,yolo_plate_dataset,crop_source_bounding_box,58,14,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000042_general_000910.jpg,59C151062,baseline,baseline,59C151062,True,0,True,False,False,archive_plate_crops_from_coords,existing_plate_crop,44,38,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000043_general_014842.jpg,51G64988,baseline,baseline,51K66458,False,4,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,57,19,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000044_general_003550.jpg,59P1128715,baseline,baseline,59P112875,False,1,False,False,False,yolo_plate_dataset,crop_source_bounding_box,49,51,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000045_general_003613.jpg,29C133900,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,29C133900,True,0,True,False,False,cropped,existing_plate_crop,47,38,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000046_general_007510.jpg,30H48602,baseline,baseline,30H48602,True,0,True,False,False,cropped,existing_plate_crop,40,25,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000047_general_004446.jpg,84A06782,baseline,baseline,84A06782,True,0,True,False,False,cropped,existing_plate_crop,59,33,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000048_general_014995.jpg,15K32266,baseline,baseline,15K32266,True,0,True,False,False,cropped,existing_plate_crop,78,25,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000049_general_008940.jpg,62P239796,baseline,baseline,62P239786,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,62,51,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000050_general_005571.jpg,51A150H,baseline,baseline,51A16598,False,3,False,False,False,yolo_plate_dataset,crop_source_bounding_box,50,14,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000051_general_010362.jpg,59X163668,baseline,baseline,59X163668,True,0,True,False,False,archive_plate_crops_from_coords,existing_plate_crop,88,59,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000052_general_002704.jpg,65B122893,baseline,baseline,65B122893,True,0,True,False,False,yolo_plate_dataset,crop_source_bounding_box,342,248,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000053_general_012344.jpg,9LDDD103,baseline,baseline,93LD00103,False,3,False,False,False,yolo_plate_dataset,crop_source_bounding_box,57,20,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000054_general_003272.jpg,30E14342,baseline,baseline,30G61462,False,4,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,201,222,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000055_general_017276.jpg,50E06940,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,90E06940,False,1,False,False,False,cropped,existing_plate_crop,28,17,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000056_general_009373.jpg,19N8866,full_z0.93_up3_clahe_clip1_tile4,full_z0.93_up3_clahe_clip1_tile4,19N1866,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,198,61,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000057_general_014239.jpg,59V187173,baseline,baseline,59N187173,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,103,95,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000058_general_017324.jpg,60A79301,baseline,baseline,60A79301,True,0,True,False,False,cropped,existing_plate_crop,40,38,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000059_general_003143.jpg,30L82668,baseline,baseline,30L82668,True,0,True,False,False,cropped,existing_plate_crop,76,21,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000060_general_006592.jpg,54D57119,baseline,baseline,54U57119,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,84,77,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000061_general_002679.jpg,30G25110,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,30G25110,True,0,True,False,False,cropped,existing_plate_crop,43,22,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000062_general_013044.jpg,50E11717,baseline,baseline,50E11717,True,0,True,False,False,cropped,existing_plate_crop,60,40,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000063_general_013467.jpg,59D135226,baseline,baseline,59U135226,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,80,70,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000064_general_008788.jpg,30G13388,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,30G13388,True,0,True,False,False,cropped,existing_plate_crop,30,25,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000065_general_007122.jpg,60K39907,baseline,baseline,60K39907,True,0,True,False,False,cropped,existing_plate_crop,41,16,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000066_general_007757.jpg,60F00444,baseline,baseline,60F00444,True,0,True,False,False,cropped,existing_plate_crop,48,27,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000067_general_001910.jpg,14A40020,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,14A09290,False,3,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,256,39,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000068_general_001878.jpg,59C139916,baseline,baseline,59C139916,True,0,True,False,False,yolo_plate_ocr_dataset,existing_plate_crop,760,560,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000069_general_016280.jpg,59Z227227,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,59Z227222,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,35,23,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000070_general_014484.jpg,10728474,full_z1.15_up2_train_baseline,full_z1.15_up2_train_baseline,59X19252,False,8,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,67,65,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000071_general_014281.jpg,30G43912,baseline,baseline,30G43912,True,0,True,False,False,cropped,existing_plate_crop,191,53,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000072_general_007444.jpg,60A85302,baseline,baseline,60A85302,True,0,True,False,False,cropped,existing_plate_crop,65,39,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000073_general_015004.jpg,84A11605,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,84N116015,False,2,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,35,29,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000074_general_003010.jpg,50H41737,baseline,baseline,50H41737,True,0,True,False,False,cropped,existing_plate_crop,73,26,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000075_general_016029.jpg,50E07181,baseline,baseline,50E07181,True,0,True,False,False,cropped,existing_plate_crop,36,24,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000076_general_013649.jpg,51G477281,baseline,baseline,51G47281,False,1,False,False,False,yolo_plate_dataset,crop_source_bounding_box,57,11,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000077_general_015247.jpg,50C10929,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,53577832,False,7,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,34,20,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000078_general_005071.jpg,51D67938,baseline,baseline,51D67938,True,0,True,False,False,archive_plate_crops_from_coords,existing_plate_crop,63,31,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000079_general_010074.jpg,60K31693,baseline,baseline,60K31693,True,0,True,False,False,cropped,existing_plate_crop,63,39,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000080_general_014302.jpg,60A66438,baseline,baseline,60A66438,True,0,True,False,False,cropped,existing_plate_crop,83,26,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000081_general_012209.jpg,50B45557,baseline,baseline,50BA5557,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,88,77,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000082_general_008508.jpg,59H170791,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,59M170791,False,1,False,False,False,yolo_plate_ocr_dataset,existing_plate_crop,760,560,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000083_general_008187.jpg,60H85523,baseline,baseline,60H85523,True,0,True,False,False,cropped,existing_plate_crop,43,31,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000084_general_005405.jpg,61F02687,baseline,baseline,51F02687,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,111,28,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000085_general_002883.jpg,77K190598,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,72556K98,False,6,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,46,32,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000086_general_009647.jpg,50X115000,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,50X115500,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,74,75,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000087_general_011846.jpg,60B947400,baseline,baseline,60B947400,True,0,True,False,False,cropped,existing_plate_crop,42,29,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000088_general_001040.jpg,20A53777,baseline,baseline,47A53777,False,2,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,64,18,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000089_general_003487.jpg,60A88525,baseline,baseline,60A88525,True,0,True,False,False,cropped,existing_plate_crop,68,38,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000090_general_013418.jpg,60LD03045,baseline,baseline,60LD03045,True,0,True,False,False,cropped,existing_plate_crop,88,63,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000091_general_017231.jpg,65P74210,baseline,baseline,65P74210,True,0,True,False,False,yolo_plate_dataset,crop_source_bounding_box,402,291,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000092_general_008216.jpg,60G138029,unwrap_z1.07_up2_clahe_rl_deblur_bilateral,unwrap_z1.07_up2_clahe_rl_deblur_bilateral,60G138029,True,0,True,False,False,cropped,existing_plate_crop,45,41,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000093_general_009457.jpg,51A70993,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,5131022,False,5,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,21,13,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000094_general_010270.jpg,30D31967,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,5YD31967,False,2,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,72,46,min_side_32_63
