image_path,target,first_action,final_action,prediction,exact,edit_distance,baseline_exact,fixed,broken,policy_a_action,policy_b_action,policy_a_prediction,policy_b_prediction,prediction_agreement_change
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000045_archive_plate_crops_from_coords.jpg,59U145476,baseline,baseline,59U145476,True,0,True,False,False,baseline,baseline,59U145476,59U145476,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000048_yolo_plate_dataset.jpg,51A77444,baseline,baseline,51A72444,False,1,False,False,False,baseline,baseline,51A72444,51A72444,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000051_yolo_plate_ocr_dataset.jpg,71B158070,baseline,baseline,71B158070,True,0,True,False,False,baseline,baseline,71B158070,71B158070,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000053_cropped.jpg,36A61218,baseline,baseline,36A61218,True,0,True,False,False,baseline,baseline,36A61218,36A61218,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000058_yolo_plate_dataset.jpg,52H99892,baseline,baseline,52H99892,True,0,True,False,False,baseline,baseline,52H99892,52H99892,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000060_yolo_plate_dataset.jpg,51A9172,baseline,baseline,61A69172,False,2,False,False,False,baseline,baseline,61A69172,61A69172,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000064_cropped.jpg,60B03711,baseline,baseline,60B03711,True,0,True,False,False,baseline,baseline,60B03711,60B03711,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000067_yolo_plate_dataset.jpg,59C128098,baseline,baseline,9C128098,False,1,False,False,False,baseline,full_z1.15_up3_train_baseline,9C128098,9C128098,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000068_yolo_plate_dataset.jpg,QA52L,baseline,baseline,0452LB,False,3,False,False,False,full_z0.93_up3_clahe_clip1_tile4,baseline,045249,0452LB,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000077_cropped.jpg,59M154192,baseline,baseline,59M154192,True,0,True,False,False,baseline,baseline,59M154192,59M154192,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000087_yolo_plate_dataset.jpg,59C132502,baseline,baseline,59C132502,True,0,True,False,False,baseline,baseline,59C132502,59C132502,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000090_yolo_plate_dataset.jpg,83S17444,baseline,baseline,83S17444,True,0,True,False,False,baseline,baseline,83S17444,83S17444,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000092_archive_plate_crops_from_coords.jpg,77F125389,baseline,baseline,77F125389,True,0,True,False,False,baseline,baseline,77F125389,77F125389,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000108_yolo_plate_dataset.jpg,51F26326,baseline,baseline,51F75326,False,2,False,False,False,baseline,baseline,51F75326,51F75326,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000111_yolo_plate_ocr_dataset.jpg,59D113629,baseline,baseline,59U113629,False,1,False,False,False,baseline,baseline,59U113629,59U113629,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000112_archive_plate_crops_from_coords.jpg,60B236161,baseline,baseline,60B236161,True,0,True,False,False,baseline,unwrap_z1.07_up2_clahe_rl_deblur_bilateral,60B236161,60B236161,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000115_yolo_plate_ocr_dataset.jpg,59L184759,baseline,baseline,59L184759,True,0,True,False,False,baseline,baseline,59L184759,59L184759,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000123_archive_plate_crops_from_coords.jpg,69F135698,baseline,baseline,69F135698,True,0,True,False,False,baseline,baseline,69F135698,69F135698,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000135_cropped.jpg,30E21290,baseline,baseline,30E21290,True,0,True,False,False,baseline,baseline,30E21290,30E21290,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000146_archive_plate_crops_from_coords.jpg,43D106544,baseline,baseline,43D106544,True,0,True,False,False,baseline,baseline,43D106544,43D106544,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000147_cropped.jpg,60A50110,baseline,baseline,60A50110,True,0,True,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,60A50110,60A50110,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000148_cropped.jpg,79A43657,baseline,baseline,79A43657,True,0,True,False,False,baseline,baseline,79A43657,79A43657,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000154_cropped.jpg,30G32955,baseline,baseline,30G32955,True,0,True,False,False,baseline,baseline,30G32955,30G32955,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000155_yolo_plate_dataset.jpg,51F24478,baseline,baseline,51F24478,True,0,True,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,51F24478,51F24476,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000156_yolo_plate_dataset.jpg,9419764,baseline,baseline,94R99764,False,2,False,False,False,baseline,baseline,94R99764,94R99764,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000157_cropped.jpg,60LD01633,baseline,baseline,60LD01633,True,0,True,False,False,baseline,baseline,60LD01633,60LD01633,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000183_cropped.jpg,61N117570,baseline,baseline,61N117570,True,0,True,False,False,baseline,baseline,61N117570,61N117570,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000187_archive_plate_crops_from_coords.jpg,29G99340,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,29C99340,False,1,False,False,False,full_z1.15_up2_train_baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,29C99340,29C99340,True
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000193_archive_plate_crops_from_coords.jpg,30E58226,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,30E58226,True,0,False,True,False,full_z1.15_up2_train_baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,30E58226,30E58226,True
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000200_yolo_plate_dataset.jpg,AD5003,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,KB5003,False,2,False,False,False,full_z1.15_up2_train_baseline,full_z1.15_up3_train_baseline,KB5003,KB5003,True
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000203_cropped.jpg,60B113141,baseline,baseline,60B113141,True,0,True,False,False,full_z1.15_up2_train_baseline,baseline,60B113141,60B113141,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000204_archive_plate_crops_from_coords.jpg,67L262917,baseline,baseline,67L262917,True,0,True,False,False,baseline,baseline,67L262917,67L262917,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000206_yolo_plate_ocr_dataset.jpg,59T161654,baseline,baseline,59T161654,True,0,True,False,False,baseline,baseline,59T161654,59T161654,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000207_yolo_plate_dataset.jpg,65U23442,baseline,baseline,65U23442,True,0,True,False,False,baseline,baseline,65U23442,65U23442,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000213_cropped.jpg,59F103055,baseline,baseline,59F103055,True,0,True,False,False,baseline,baseline,59F103055,59F103055,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000218_archive_plate_crops_from_coords.jpg,51Z74533,baseline,baseline,51Z74533,True,0,True,False,False,full_z0.93_up3_clahe_clip1_tile4,baseline,51Z4533,51Z74533,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000219_archive_plate_crops_from_coords.jpg,59H296440,baseline,baseline,59M296440,False,1,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,59M296440,59N296440,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000221_cropped.jpg,50H21541,baseline,baseline,50H21541,True,0,True,False,False,baseline,baseline,50H21541,50H21541,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000225_cropped.jpg,98A20725,baseline,baseline,98A20725,True,0,True,False,False,baseline,baseline,98A20725,98A20725,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000228_yolo_plate_ocr_dataset.jpg,67E105420,baseline,baseline,67E105420,True,0,True,False,False,baseline,baseline,67E105420,67E105420,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000231_cropped.jpg,60LD00444,baseline,baseline,60LD04444,False,1,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,60LD04444,60LD04444,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000236_yolo_plate_dataset.jpg,64D121888,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,64D121888,True,0,False,True,False,full_z1.15_up2_train_baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,64D121888,64D121888,True
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000238_archive_plate_crops_from_coords.jpg,30A79330,baseline,baseline,30A79330,True,0,True,False,False,baseline,baseline,30A79330,30A79330,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000239_yolo_plate_dataset.jpg,59K122323,baseline,baseline,59K122323,True,0,True,False,False,baseline,baseline,59K122323,59K122323,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000243_cropped.jpg,60LD03298,baseline,baseline,60LD03298,True,0,True,False,False,baseline,baseline,60LD03298,60LD03298,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000246_yolo_plate_dataset.jpg,30F00090,baseline,baseline,30E00090,False,1,False,False,False,baseline,baseline,30E00090,30E00090,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000254_archive_plate_crops_from_coords.jpg,60C00776,baseline,baseline,68LA00776,False,3,False,False,False,baseline,baseline,68LA00776,68LA00776,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000256_cropped.jpg,60A17390,baseline,baseline,60A17390,True,0,True,False,False,baseline,baseline,60A17390,60A17390,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000258_yolo_plate_dataset.jpg,69K57909,baseline,baseline,69K57909,True,0,True,False,False,baseline,baseline,69K57909,69K57909,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000261_archive_plate_crops_from_coords.jpg,59N121704,baseline,baseline,59M121704,False,1,False,False,False,baseline,baseline,59M121704,59M121704,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000262_cropped.jpg,60C70845,baseline,baseline,60C70845,True,0,True,False,False,baseline,baseline,60C70845,60C70845,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000266_archive_plate_crops_from_coords.jpg,54T34407,baseline,baseline,54T34407,True,0,True,False,False,baseline,baseline,54T34407,54T34407,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000275_yolo_plate_ocr_dataset.jpg,59D143820,baseline,baseline,59D143820,True,0,True,False,False,full_z1.15_up2_train_baseline,baseline,59D143820,59D143820,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000278_yolo_plate_dataset.jpg,59B135294,baseline,baseline,59B135294,True,0,True,False,False,baseline,baseline,59B135294,59B135294,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000279_yolo_plate_dataset.jpg,51C22237,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,51C22237,True,0,False,True,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,51C22237,51C22237,True
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000280_cropped.jpg,30E69124,baseline,baseline,30E69124,True,0,True,False,False,baseline,baseline,30E69124,30E69124,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000286_yolo_plate_ocr_dataset.jpg,59P188847,baseline,baseline,59P188847,True,0,True,False,False,baseline,baseline,59P188847,59P188847,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000287_yolo_plate_dataset.jpg,61F35613,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,61F35613,True,0,False,True,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,61F35613,61F35613,True
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000294_cropped.jpg,51L29478,baseline,baseline,51L29478,True,0,True,False,False,baseline,baseline,51L29478,51L29478,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000297_yolo_plate_dataset.jpg,64D121888,baseline,baseline,64D121888,True,0,True,False,False,baseline,baseline,64D121888,64D121888,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000299_yolo_plate_ocr_dataset.jpg,16M90826,baseline,baseline,16M90826,True,0,True,False,False,baseline,baseline,16M90826,16M90826,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000310_cropped.jpg,60C38128,baseline,baseline,60C38128,True,0,True,False,False,baseline,baseline,60C38128,60C38128,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000315_yolo_plate_ocr_dataset.jpg,0LD04411,baseline,baseline,QLD04411,False,1,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,QLD04411,QLD04411,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000318_cropped.jpg,50LD06051,baseline,baseline,50LD06051,True,0,True,False,False,baseline,baseline,50LD06051,50LD06051,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000322_yolo_plate_dataset.jpg,51F9011,baseline,baseline,51F59011,False,1,False,False,False,baseline,baseline,51F59011,51F59011,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000334_yolo_plate_dataset.jpg,86B114630,baseline,baseline,86B114630,True,0,True,False,False,baseline,baseline,86B114630,86B114630,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000336_cropped.jpg,51G95959,baseline,baseline,51D95959,False,1,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,51D95959,51G95959,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000344_archive_plate_crops_from_coords.jpg,47B177040,baseline,baseline,47B177040,True,0,True,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,47B177040,47B177040,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000347_yolo_plate_dataset.jpg,79C122177,baseline,baseline,79C122177,True,0,True,False,False,baseline,baseline,79C122177,79C122177,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000351_archive_plate_crops_from_coords.jpg,30E96131,baseline,baseline,30E98131,False,1,False,False,False,baseline,baseline,30E98131,30E98131,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000356_yolo_plate_ocr_dataset.jpg,59H160919,baseline,baseline,59H160919,True,0,True,False,False,baseline,baseline,59H160919,59H160919,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000366_archive_plate_crops_from_coords.jpg,49E139941,baseline,baseline,49E139941,True,0,True,False,False,baseline,baseline,49E139941,49E139941,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000371_yolo_plate_dataset.jpg,63X77818,baseline,baseline,63X77818,True,0,True,False,False,baseline,baseline,63X77818,63X77818,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000381_yolo_plate_dataset.jpg,51G50553,baseline,baseline,51G50553,True,0,True,False,False,baseline,baseline,51G50553,51G50553,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000383_archive_plate_crops_from_coords.jpg,66S112239,baseline,baseline,66S112239,True,0,True,False,False,baseline,baseline,66S112239,66S112239,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000391_archive_plate_crops_from_coords.jpg,59B144032,baseline,baseline,59B144032,True,0,True,False,False,baseline,baseline,59B144032,59B144032,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000397_cropped.jpg,60H606551,baseline,baseline,60H606551,True,0,True,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,60H606551,60H606551,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000403_archive_plate_crops_from_coords.jpg,50XI47360,baseline,baseline,52X47360,False,2,False,False,False,baseline,full_z0.93_up3_clahe_clip1_tile4,52X47360,52X47360,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000405_cropped.jpg,60C66494,baseline,baseline,60C66494,True,0,True,False,False,baseline,baseline,60C66494,60C66494,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000409_cropped.jpg,60A04038,baseline,baseline,60A04038,True,0,True,False,False,baseline,baseline,60A04038,60A04038,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000413_cropped.jpg,51A16281,baseline,baseline,51A16281,True,0,True,False,False,baseline,baseline,51A16281,51A16281,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000420_yolo_plate_dataset.jpg,29D163516,baseline,baseline,29D163516,True,0,True,False,False,baseline,baseline,29D163516,29D163516,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000431_archive_plate_crops_from_coords.jpg,51K14305,baseline,baseline,51K14305,True,0,True,False,False,baseline,baseline,51K14305,51K14305,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000436_cropped.jpg,36A66736,baseline,baseline,36A66736,True,0,True,False,False,baseline,baseline,36A66736,36A66736,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000438_yolo_plate_ocr_dataset.jpg,48FA1856,full_z1.15_up3_train_baseline,full_z1.15_up3_train_baseline,48FA1856,True,0,False,True,False,full_z1.15_up2_train_baseline,full_z1.15_up3_train_baseline,48FA1856,48FA1856,True
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000446_yolo_plate_dataset.jpg,62A06772,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,62A06772,True,0,False,True,False,full_z1.15_up3_train_baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,62A06772,62A06772,True
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000450_yolo_plate_dataset.jpg,50LDD4411,baseline,baseline,50LD04411,False,1,False,False,False,baseline,baseline,50LD04411,50LD04411,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000456_yolo_plate_dataset.jpg,XP3162,baseline,baseline,XP3162,True,0,True,False,False,baseline,baseline,XP3162,XP3162,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000469_cropped.jpg,60E02290,baseline,baseline,60E02290,True,0,True,False,False,baseline,baseline,60E02290,60E02290,False
