image_path,target,first_action,final_action,prediction,exact,edit_distance,baseline_exact,fixed,broken
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000043_archive_plate_crops_from_coords.jpg,99A08929,baseline,baseline,99A08929,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000045_archive_plate_crops_from_coords.jpg,59U145476,baseline,baseline,59U145476,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000048_yolo_plate_dataset.jpg,51A77444,baseline,baseline,51A72444,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000051_yolo_plate_ocr_dataset.jpg,71B158070,baseline,baseline,71B158070,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000053_cropped.jpg,36A61218,baseline,baseline,36A61218,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000058_yolo_plate_dataset.jpg,52H99892,baseline,baseline,52H99892,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000060_yolo_plate_dataset.jpg,51A9172,baseline,baseline,61A69172,False,2,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000064_cropped.jpg,60B03711,baseline,baseline,60B03711,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000067_yolo_plate_dataset.jpg,59C128098,baseline,baseline,9C128098,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000068_yolo_plate_dataset.jpg,QA52L,full_z0.85_up2_adaptive_noise_3way,full_z0.85_up2_adaptive_noise_3way,045240,False,4,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000077_cropped.jpg,59M154192,baseline,baseline,59M154192,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000087_yolo_plate_dataset.jpg,59C132502,baseline,baseline,59C132502,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000090_yolo_plate_dataset.jpg,83S17444,baseline,baseline,83S17444,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000092_archive_plate_crops_from_coords.jpg,77F125389,baseline,baseline,77F125389,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000108_yolo_plate_dataset.jpg,51F26326,baseline,baseline,51F75326,False,2,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000111_yolo_plate_ocr_dataset.jpg,59D113629,baseline,baseline,59U113629,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000112_archive_plate_crops_from_coords.jpg,60B236161,baseline,baseline,60B236161,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000115_yolo_plate_ocr_dataset.jpg,59L184759,baseline,baseline,59L184759,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000123_archive_plate_crops_from_coords.jpg,69F135698,baseline,baseline,69F135698,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000135_cropped.jpg,30E21290,baseline,baseline,30E21290,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000146_archive_plate_crops_from_coords.jpg,43D106544,baseline,baseline,43D106544,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000147_cropped.jpg,60A50110,baseline,baseline,60A50110,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000148_cropped.jpg,79A43657,baseline,baseline,79A43657,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000154_cropped.jpg,30G32955,baseline,baseline,30G32955,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000155_yolo_plate_dataset.jpg,51F24478,baseline,baseline,51F24478,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000156_yolo_plate_dataset.jpg,9419764,baseline,baseline,94R99764,False,2,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000157_cropped.jpg,60LD01633,baseline,baseline,60LD01633,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000183_cropped.jpg,61N117570,baseline,baseline,61N117570,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000187_archive_plate_crops_from_coords.jpg,29G99340,baseline,baseline,29499340,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000193_archive_plate_crops_from_coords.jpg,30E58226,baseline,baseline,30E358226,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000200_yolo_plate_dataset.jpg,AD5003,full_z1.15_up2_train_baseline,full_z1.15_up2_train_baseline,KB5003,False,2,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000203_cropped.jpg,60B113141,baseline,baseline,60B113141,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000204_archive_plate_crops_from_coords.jpg,67L262917,baseline,baseline,67L262917,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000206_yolo_plate_ocr_dataset.jpg,59T161654,baseline,baseline,59T161654,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000207_yolo_plate_dataset.jpg,65U23442,baseline,baseline,65U23442,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000213_cropped.jpg,59F103055,baseline,baseline,59F103055,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000218_archive_plate_crops_from_coords.jpg,51Z74533,baseline,baseline,51Z74533,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000219_archive_plate_crops_from_coords.jpg,59H296440,baseline,baseline,59M296440,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000221_cropped.jpg,50H21541,baseline,baseline,50H21541,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000225_cropped.jpg,98A20725,baseline,baseline,98A20725,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000228_yolo_plate_ocr_dataset.jpg,67E105420,baseline,baseline,67E105420,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000231_cropped.jpg,60LD00444,baseline,baseline,60LD04444,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000236_yolo_plate_dataset.jpg,64D121888,full_z1.15_up2_train_baseline,full_z1.15_up2_train_baseline,64D121888,True,0,False,True,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000238_archive_plate_crops_from_coords.jpg,30A79330,baseline,baseline,30A79330,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000239_yolo_plate_dataset.jpg,59K122323,baseline,baseline,59K122323,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000243_cropped.jpg,60LD03298,baseline,baseline,60LD03298,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000246_yolo_plate_dataset.jpg,30F00090,baseline,baseline,30E00090,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000254_archive_plate_crops_from_coords.jpg,60C00776,baseline,baseline,68LA00776,False,3,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000256_cropped.jpg,60A17390,baseline,baseline,60A17390,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000258_yolo_plate_dataset.jpg,69K57909,baseline,baseline,69K57909,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000261_archive_plate_crops_from_coords.jpg,59N121704,baseline,baseline,59M121704,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000262_cropped.jpg,60C70845,baseline,baseline,60C70845,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000266_archive_plate_crops_from_coords.jpg,54T34407,baseline,baseline,54T34407,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000275_yolo_plate_ocr_dataset.jpg,59D143820,baseline,baseline,59D143820,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000278_yolo_plate_dataset.jpg,59B135294,baseline,baseline,59B135294,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000279_yolo_plate_dataset.jpg,51C22237,full_z0.93_up3_clahe_clip1_tile4,full_z0.93_up3_clahe_clip1_tile4,GLG22232,False,4,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000280_cropped.jpg,30E69124,baseline,baseline,30E69124,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000286_yolo_plate_ocr_dataset.jpg,59P188847,baseline,baseline,59P188847,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000287_yolo_plate_dataset.jpg,61F35613,baseline,baseline,61F36813,False,2,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000294_cropped.jpg,51L29478,baseline,baseline,51L29478,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000297_yolo_plate_dataset.jpg,64D121888,baseline,baseline,64D121888,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000299_yolo_plate_ocr_dataset.jpg,16M90826,baseline,baseline,16M90826,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000310_cropped.jpg,60C38128,baseline,baseline,60C38128,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000315_yolo_plate_ocr_dataset.jpg,0LD04411,baseline,baseline,QLD04411,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000318_cropped.jpg,50LD06051,baseline,baseline,50LD06051,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000322_yolo_plate_dataset.jpg,51F9011,baseline,baseline,51F59011,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000334_yolo_plate_dataset.jpg,86B114630,baseline,baseline,86B114630,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000336_cropped.jpg,51G95959,baseline,baseline,51D95959,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000344_archive_plate_crops_from_coords.jpg,47B177040,baseline,baseline,47B177040,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000347_yolo_plate_dataset.jpg,79C122177,baseline,baseline,79C122177,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000351_archive_plate_crops_from_coords.jpg,30E96131,baseline,baseline,30E98131,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000356_yolo_plate_ocr_dataset.jpg,59H160919,baseline,baseline,59H160919,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000366_archive_plate_crops_from_coords.jpg,49E139941,baseline,baseline,49E139941,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000371_yolo_plate_dataset.jpg,63X77818,baseline,baseline,63X77818,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000381_yolo_plate_dataset.jpg,51G50553,baseline,baseline,51G50553,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000383_archive_plate_crops_from_coords.jpg,66S112239,baseline,baseline,66S112239,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000391_archive_plate_crops_from_coords.jpg,59B144032,baseline,baseline,59B144032,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000397_cropped.jpg,60H606551,baseline,baseline,60H606551,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000403_archive_plate_crops_from_coords.jpg,50XI47360,baseline,baseline,52X47360,False,2,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000405_cropped.jpg,60C66494,baseline,baseline,60C66494,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000409_cropped.jpg,60A04038,baseline,baseline,60A04038,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000413_cropped.jpg,51A16281,baseline,baseline,51A16281,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000420_yolo_plate_dataset.jpg,29D163516,baseline,baseline,29D163516,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000431_archive_plate_crops_from_coords.jpg,51K14305,baseline,baseline,51K14305,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000436_cropped.jpg,36A66736,baseline,baseline,36A66736,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000438_yolo_plate_ocr_dataset.jpg,48FA1856,full_z0.85_up2_adaptive_noise_3way,full_z0.85_up2_adaptive_noise_3way,48FN1856,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000446_yolo_plate_dataset.jpg,62A06772,baseline,baseline,82A06772,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000450_yolo_plate_dataset.jpg,50LDD4411,baseline,baseline,50LD04411,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000456_yolo_plate_dataset.jpg,XP3162,baseline,baseline,XP3162,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000469_cropped.jpg,60E02290,baseline,baseline,60E02290,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000470_yolo_plate_dataset.jpg,51C50553,full_z1.15_up2_train_baseline,full_z1.15_up2_train_baseline,51G60553,False,2,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000471_yolo_plate_dataset.jpg,59S174613,baseline,baseline,59S174613,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000473_archive_plate_crops_from_coords.jpg,51F55717,baseline,baseline,51F55717,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000475_cropped.jpg,30K02781,baseline,baseline,30K02781,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000481_yolo_plate_ocr_dataset.jpg,49F1086650,baseline,baseline,49F108660,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000498_yolo_plate_dataset.jpg,65X37533,baseline,baseline,65X37533,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000505_cropped.jpg,72G00593,baseline,baseline,72G00593,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000508_yolo_plate_dataset.jpg,7H3169,baseline,baseline,TH3169,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000517_yolo_plate_dataset.jpg,5110095,baseline,baseline,51G10095,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000519_cropped.jpg,60A57299,baseline,baseline,60A57299,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000523_archive_plate_crops_from_coords.jpg,72C150260,baseline,baseline,72C150260,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000525_yolo_plate_dataset.jpg,54X26487,baseline,baseline,54X26487,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000526_yolo_plate_ocr_dataset.jpg,51D10039,baseline,baseline,51D10039,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000529_archive_plate_crops_from_coords.jpg,59K122323,baseline,baseline,59K122323,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000530_cropped.jpg,51H29185,baseline,baseline,51H29185,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000531_yolo_plate_ocr_dataset.jpg,59L156720,baseline,baseline,59L156220,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000536_cropped.jpg,50LD19389,baseline,baseline,50LD19389,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000542_cropped.jpg,36P30681,baseline,baseline,36P30681,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000546_cropped.jpg,51F87191,baseline,baseline,51F87191,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000550_yolo_plate_dataset.jpg,59K113099,baseline,baseline,59K113099,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000552_archive_plate_crops_from_coords.jpg,59K140650,baseline,baseline,59K140650,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000556_cropped.jpg,50H46924,baseline,baseline,50H46924,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000573_archive_plate_crops_from_coords.jpg,51K61392,baseline,baseline,51K61392,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000575_yolo_plate_dataset.jpg,51F84685,baseline,baseline,51F84686,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000581_yolo_plate_dataset.jpg,59S241737,baseline,baseline,59S241737,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000593_yolo_plate_dataset.jpg,67B103448,baseline,baseline,67B103448,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000595_yolo_plate_ocr_dataset.jpg,59P189739,baseline,baseline,59P189739,True,0,True,False,False
