image_path,target,first_action,final_action,prediction,exact,edit_distance,baseline_exact,fixed,broken,policy_a_action,policy_b_action,policy_a_prediction,policy_b_prediction,prediction_agreement_change,source,input_transform,crop_width,crop_height,crop_size_bucket
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_002221.jpg,60F144116,baseline,baseline,60F141516,False,2,False,False,False,baseline,baseline,60F141516,60F141516,False,archive_plate_crops_from_coords,existing_plate_crop,96,65,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_010262.jpg,29K10634,baseline,baseline,29K10634,True,0,True,False,False,baseline,baseline,29K10634,29K10634,False,cropped,existing_plate_crop,59,15,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_001157.jpg,51G94303,baseline,baseline,51G94303,True,0,True,False,False,baseline,baseline,51G94303,51G94303,False,cropped,existing_plate_crop,92,85,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_002839.jpg,59X163066,baseline,baseline,59X163066,True,0,True,False,False,baseline,baseline,59X163066,59X163066,False,archive_plate_crops_from_coords,existing_plate_crop,95,60,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_005502.jpg,30E34441,baseline,baseline,30E34441,True,0,True,False,False,baseline,baseline,30E34441,30E34441,False,cropped,existing_plate_crop,115,103,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_017181.jpg,59D188728,baseline,baseline,59D188728,True,0,True,False,False,full_z1.15_up2_train_baseline,baseline,59D188728,59D188728,False,archive_plate_crops_from_coords,existing_plate_crop,91,78,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_011310.jpg,30F19643,baseline,baseline,30F19643,True,0,True,False,False,baseline,baseline,30F19643,30F19643,False,archive_plate_crops_from_coords,existing_plate_crop,247,62,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_007367.jpg,61C161407,baseline,baseline,61C161407,True,0,True,False,False,baseline,baseline,61C161407,61C161407,False,yolo_plate_dataset,crop_source_bounding_box,88,66,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_008055.jpg,29V19010,baseline,baseline,29V1910,False,1,False,False,False,baseline,baseline,29V1910,29V1910,False,archive_plate_crops_from_coords,existing_plate_crop,183,98,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_003979.jpg,30A30546,baseline,baseline,30A90546,False,1,False,False,False,baseline,baseline,30A90546,30A90546,False,archive_plate_crops_from_coords,existing_plate_crop,144,103,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_000777.jpg,51G44910,baseline,baseline,51G44810,False,1,False,False,False,full_z0.93_up3_clahe_clip1_tile4,baseline,51G44910,51G44810,False,archive_plate_crops_from_coords,existing_plate_crop,81,69,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_006977.jpg,51H15869,baseline,baseline,51H15869,True,0,True,False,False,baseline,baseline,51H15869,51H15869,False,cropped,existing_plate_crop,62,24,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_006056.jpg,50Z6788,baseline,baseline,50Z6788,True,0,True,False,False,baseline,baseline,50Z6788,50Z6788,False,archive_plate_crops_from_coords,existing_plate_crop,148,97,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_014029.jpg,59C109776,baseline,baseline,59C109776,True,0,True,False,False,baseline,baseline,59C109776,59C109776,False,archive_plate_crops_from_coords,existing_plate_crop,97,51,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_007762.jpg,50E02495,baseline,baseline,50E02495,True,0,True,False,False,baseline,baseline,50E02495,50E02495,False,cropped,existing_plate_crop,48,14,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_008534.jpg,68F26766,baseline,baseline,68F26766,True,0,True,False,False,baseline,baseline,68F26766,68F26766,False,yolo_plate_dataset,crop_source_bounding_box,150,96,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_007379.jpg,62K22681,baseline,baseline,62K22681,True,0,True,False,False,baseline,baseline,62K22681,62K22681,False,yolo_plate_dataset,crop_source_bounding_box,168,116,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_010012.jpg,30E20024,baseline,baseline,30E20024,True,0,True,False,False,baseline,baseline,30E20024,30E20024,False,cropped,existing_plate_crop,30,28,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_001812.jpg,30K89894,baseline,baseline,30K89894,True,0,True,False,False,baseline,baseline,30K89894,30K89894,False,cropped,existing_plate_crop,67,20,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_015390.jpg,71H71632,baseline,baseline,71H71632,True,0,True,False,False,full_z1.15_up2_train_baseline,baseline,71H71632,71H71632,False,archive_plate_crops_from_coords,existing_plate_crop,93,64,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_004863.jpg,72F135507,baseline,baseline,72F135507,True,0,True,False,False,baseline,baseline,72F135507,72F135507,False,yolo_plate_ocr_dataset,existing_plate_crop,760,560,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_001887.jpg,29A23136,baseline,baseline,29A23136,True,0,True,False,False,baseline,baseline,29A23136,29A23136,False,archive_plate_crops_from_coords,existing_plate_crop,166,89,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_012945.jpg,63V28794,baseline,baseline,63V28794,True,0,True,False,False,baseline,baseline,63V28794,63V28794,False,yolo_plate_dataset,crop_source_bounding_box,136,105,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_003415.jpg,29A00013,baseline,baseline,49AL00119,False,4,False,False,False,baseline,baseline,49AL00119,49AL00119,False,archive_plate_crops_from_coords,existing_plate_crop,82,53,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_016098.jpg,15A54405,baseline,baseline,15A54405,True,0,True,False,False,baseline,baseline,15A54405,15A54405,False,cropped,existing_plate_crop,67,47,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_010790.jpg,36A48814,baseline,baseline,36A48814,True,0,True,False,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,36A48814,36A48814,False,cropped,existing_plate_crop,36,25,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_012267.jpg,59V184031,baseline,baseline,59V184031,True,0,True,False,False,baseline,baseline,59V184031,59V184031,False,yolo_plate_dataset,crop_source_bounding_box,70,50,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_017564.jpg,72C172076,baseline,baseline,72C172076,True,0,True,False,False,baseline,baseline,72C172076,72C172076,False,cropped,existing_plate_crop,42,35,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_009849.jpg,51K46013,baseline,baseline,51K46013,True,0,True,False,False,baseline,baseline,51K46013,51K46013,False,cropped,existing_plate_crop,82,45,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_015078.jpg,51H36264,baseline,baseline,51136264,False,1,False,False,False,full_z1.15_up2_train_baseline,baseline,51136264,51136264,False,archive_plate_crops_from_coords,existing_plate_crop,121,57,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_015325.jpg,30A84599,baseline,baseline,30A88459,False,2,False,False,False,baseline,baseline,30A88459,30A88459,False,archive_plate_crops_from_coords,existing_plate_crop,211,82,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_012850.jpg,48A06177,baseline,baseline,48A06137,False,1,False,False,False,baseline,baseline,48A06137,48A06137,False,yolo_plate_dataset,crop_source_bounding_box,49,13,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_008019.jpg,86B715695,baseline,baseline,86B715695,True,0,True,False,False,baseline,baseline,86B715695,86B715695,False,cropped,existing_plate_crop,52,42,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_001857.jpg,67A10074,baseline,baseline,67A11074,False,1,False,False,False,baseline,baseline,67A11074,67A11074,False,archive_plate_crops_from_coords,existing_plate_crop,103,33,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_001717.jpg,51F18535,baseline,baseline,51F18535,True,0,True,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,51F18535,51F18535,False,cropped,existing_plate_crop,28,22,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_007321.jpg,60A45947,baseline,baseline,60A45947,True,0,True,False,False,baseline,baseline,60A45947,60A45947,False,cropped,existing_plate_crop,87,33,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_002778.jpg,30F59425,baseline,baseline,30F59425,True,0,True,False,False,baseline,baseline,30F59425,30F59425,False,cropped,existing_plate_crop,60,19,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_013577.jpg,59H125521,baseline,baseline,59N125521,False,1,False,False,False,baseline,baseline,59N125521,59N125521,False,yolo_plate_dataset,crop_source_bounding_box,51,31,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_007335.jpg,60A31449,baseline,baseline,60A31449,True,0,True,False,False,baseline,baseline,60A31449,60A31449,False,cropped,existing_plate_crop,85,31,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_003698.jpg,30G68327,baseline,baseline,30G68327,True,0,True,False,False,baseline,baseline,30G68327,30G68327,False,cropped,existing_plate_crop,55,26,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_009892.jpg,29A46319,baseline,baseline,29A46319,True,0,True,False,False,baseline,baseline,29A46319,29A46319,False,archive_plate_crops_from_coords,existing_plate_crop,309,119,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_005100.jpg,59X189118,baseline,baseline,59X189118,True,0,True,False,False,baseline,baseline,59X189118,59X189118,False,archive_plate_crops_from_coords,existing_plate_crop,50,31,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_004108.jpg,59X112591,baseline,baseline,59X112591,True,0,True,False,False,baseline,baseline,59X112591,59X112591,False,archive_plate_crops_from_coords,existing_plate_crop,84,56,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_002297.jpg,60A66340,baseline,baseline,60A66340,True,0,True,False,False,baseline,baseline,60A66340,60A66340,False,cropped,existing_plate_crop,68,26,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_002018.jpg,60K04322,baseline,baseline,60K04322,True,0,True,False,False,baseline,baseline,60K04322,60K04322,False,cropped,existing_plate_crop,57,41,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_010888.jpg,30A39337,baseline,baseline,30A39337,True,0,True,False,False,baseline,baseline,30A39337,30A39337,False,cropped,existing_plate_crop,64,20,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_016727.jpg,60K01413,baseline,baseline,60K01413,True,0,True,False,False,baseline,baseline,60K01413,60K01413,False,cropped,existing_plate_crop,89,27,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_014182.jpg,51A00204,baseline,baseline,51A01204,False,1,False,False,False,baseline,baseline,51A01204,51A01204,False,archive_plate_crops_from_coords,existing_plate_crop,84,25,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_001425.jpg,1F04275,baseline,baseline,1F04275,True,0,True,False,False,full_z1.15_up2_train_baseline,baseline,F04275,1F04275,False,yolo_plate_ocr_dataset,existing_plate_crop,780,165,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_017203.jpg,51G92569,baseline,baseline,51092669,False,2,False,False,False,full_z1.15_up2_train_baseline,baseline,51G92559,51092669,False,archive_plate_crops_from_coords,existing_plate_crop,56,20,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_013657.jpg,83S45372,baseline,baseline,83S45372,True,0,True,False,False,baseline,baseline,83S45372,83S45372,False,yolo_plate_dataset,crop_source_bounding_box,142,115,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_012804.jpg,59X385671,baseline,baseline,59X385671,True,0,True,False,False,baseline,baseline,59X385671,59X385671,False,archive_plate_crops_from_coords,existing_plate_crop,86,65,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_011273.jpg,51H10052,baseline,baseline,51H10572,False,2,False,False,False,baseline,baseline,51H10572,51H10572,False,archive_plate_crops_from_coords,existing_plate_crop,130,43,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_011852.jpg,649052Y,baseline,baseline,52Y6490,False,6,False,False,False,baseline,baseline,52Y6490,52Y6490,False,yolo_plate_ocr_dataset,existing_plate_crop,780,165,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_006926.jpg,72H01945,baseline,baseline,72H01945,True,0,True,False,False,baseline,baseline,72H01945,72H01945,False,cropped,existing_plate_crop,39,26,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_011974.jpg,60F71111,baseline,baseline,60F71111,True,0,True,False,False,baseline,baseline,60F71111,60F71111,False,cropped,existing_plate_crop,49,36,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_003335.jpg,66K96118,baseline,baseline,66K96118,True,0,True,False,False,baseline,baseline,66K96118,66K96118,False,yolo_plate_dataset,crop_source_bounding_box,156,104,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_011853.jpg,51G71297,baseline,baseline,51G71297,True,0,True,False,False,baseline,baseline,51G71297,51G71297,False,cropped,existing_plate_crop,59,42,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_005516.jpg,84V10819,baseline,baseline,84V10819,True,0,True,False,False,baseline,baseline,84V10819,84V10819,False,yolo_plate_dataset,crop_source_bounding_box,134,98,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_007497.jpg,67L68286,baseline,baseline,67L68286,True,0,True,False,False,baseline,baseline,67L68286,67L68286,False,yolo_plate_dataset,crop_source_bounding_box,146,95,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_001741.jpg,89A19640,baseline,baseline,89A19640,True,0,True,False,False,baseline,baseline,89A19640,89A19640,False,archive_plate_crops_from_coords,existing_plate_crop,286,89,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_010517.jpg,60K33202,baseline,baseline,60K33202,True,0,True,False,False,baseline,baseline,60K33202,60K33202,False,cropped,existing_plate_crop,58,34,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_006557.jpg,59M170791,baseline,baseline,59M170791,True,0,True,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,59M170791,59M170791,False,yolo_plate_dataset,crop_source_bounding_box,45,37,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_011395.jpg,60U14632,baseline,baseline,60U14632,True,0,True,False,False,baseline,baseline,60U14632,60U14632,False,yolo_plate_dataset,crop_source_bounding_box,288,207,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_010434.jpg,59B131489,baseline,baseline,59B131489,True,0,True,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,59B131489,59B131489,False,yolo_plate_dataset,crop_source_bounding_box,45,28,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_015438.jpg,30A25013,baseline,baseline,30A25013,True,0,True,False,False,baseline,baseline,30A25013,30A25013,False,cropped,existing_plate_crop,50,17,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_012581.jpg,30A50313,baseline,baseline,30A50313,True,0,True,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,30A50313,30A50313,False,cropped,existing_plate_crop,29,27,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_015312.jpg,50E06832,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,50E06832,True,0,False,True,False,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,50E06832,50E06832,True,cropped,existing_plate_crop,37,23,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_000938.jpg,77Y34619,baseline,baseline,77V34619,False,1,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,77V34619,77V34619,False,archive_plate_crops_from_coords,existing_plate_crop,89,80,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_015767.jpg,60AA08983,baseline,baseline,60AA08983,True,0,True,False,False,baseline,baseline,60AA08983,60AA08983,False,cropped,existing_plate_crop,36,38,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_006612.jpg,65D104017,baseline,baseline,65D104017,True,0,True,False,False,baseline,baseline,65D104017,65D104017,False,yolo_plate_dataset,crop_source_bounding_box,139,100,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_014542.jpg,50H41830,baseline,baseline,50H41830,True,0,True,False,False,baseline,baseline,50H41830,50H41830,False,cropped,existing_plate_crop,34,25,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_004298.jpg,86C147515,baseline,baseline,Q6C147515,False,1,False,False,False,baseline,baseline,Q6C147515,Q6C147515,False,archive_plate_crops_from_coords,existing_plate_crop,82,72,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_009790.jpg,68P27299,baseline,baseline,68P27299,True,0,True,False,False,baseline,baseline,68P27299,68P27299,False,yolo_plate_dataset,crop_source_bounding_box,138,92,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_010651.jpg,85R83682,baseline,baseline,85R83682,True,0,True,False,False,baseline,baseline,85R83682,85R83682,False,archive_plate_crops_from_coords,existing_plate_crop,67,56,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_009701.jpg,63A01885,baseline,baseline,63A01885,True,0,True,False,False,baseline,baseline,63A01885,63A01885,False,cropped,existing_plate_crop,43,37,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_010382.jpg,1F59011,baseline,baseline,1F59011,True,0,True,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,1F59011,1F59011,False,archive_plate_crops_from_coords,existing_plate_crop,110,29,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_007269.jpg,60B04808,baseline,baseline,60B04808,True,0,True,False,False,baseline,baseline,60B04808,60B04808,False,cropped,existing_plate_crop,37,21,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_015694.jpg,51G40118,baseline,baseline,51G40118,True,0,True,False,False,baseline,baseline,51G40118,51G40118,False,cropped,existing_plate_crop,84,35,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_015840.jpg,60H12233,baseline,baseline,60H12233,True,0,True,False,False,baseline,baseline,60H12233,60H12233,False,cropped,existing_plate_crop,61,42,min_side_32_63
